,home_team,away_team,home_odds,away_odds
0,Burnley,Bournemouth,0.42194092827004215,0.3215434083601286
1,Crystal Palace,West Brom,0.5649717514124294,0.21097046413502107
2,Huddersfield,Arsenal,0.17605633802816903,0.6451612903225806
3,Liverpool,Brighton,0.819672131147541,0.07604562737642585
4,Manchester Utd,Watford,0.6535947712418301,0.1485884101040119
5,Newcastle,Chelsea,0.2114164904862579,0.5586592178770949
6,Southampton,Manchester City,0.16025641025641024,0.6578947368421053
7,Swansea,Stoke,0.48780487804878053,0.2638522427440633
8,Spurs,Leicester,0.7246376811594204,0.12406947890818858
9,West Ham,Everton,0.4310344827586207,0.3067484662576687
10,West Ham,Manchester Utd,0.2188183807439825,0.5524861878453039
11,Manchester City,Brighton,0.8547008547008548,0.06222775357809583
12,Spurs,Newcastle,0.8264462809917356,0.06882312456985547
13,Chelsea,Huddersfield,0.7936507936507936,0.06779661016949153
14,Leicester,Arsenal,0.2590673575129534,0.5102040816326531
15,Swansea,Southampton,0.3003003003003003,0.4132231404958678
16,Arsenal,Burnley,0.6993006993006994,0.1272264631043257
17,Chelsea,Liverpool,0.45454545454545453,0.29940119760479045
18,Manchester City,Huddersfield,0.9174311926605504,0.0350385423966363
19,Everton,Southampton,0.35714285714285715,0.37037037037037035
20,Bournemouth,Swansea,0.49751243781094534,0.2531645569620253
21,Leicester,West Ham,0.4385964912280702,0.3021148036253776
22,Watford,Newcastle,0.4566210045662101,0.2710027100271003
23,West Brom,Spurs,0.1342281879194631,0.6756756756756757
24,Stoke,Crystal Palace,0.3921568627450981,0.3484320557491289
25,Brighton,Manchester Utd,0.2004008016032064,0.5405405405405405
26,Spurs,Watford,0.8547008547008548,0.058892815076560655
27,Manchester Utd,Arsenal,0.7194244604316548,0.12224938875305624
28,West Ham,Manchester City,0.10504201680672269,0.7518796992481203
29,Swansea,Chelsea,0.13054830287206265,0.6896551724137931
30,Burnley,Brighton,0.41841004184100417,0.28901734104046245
31,Crystal Palace,Leicester,0.47846889952153115,0.267379679144385
32,Huddersfield,Everton,0.37037037037037035,0.32894736842105265
33,Newcastle,West Brom,0.5076142131979695,0.2232142857142857
34,Southampton,Bournemouth,0.5882352941176471,0.19685039370078738
35,Liverpool,Stoke,0.7751937984496123,0.08833922261484099
36,Everton,Newcastle,0.4587155963302752,0.2680965147453083
37,Manchester City,Swansea,0.8849557522123894,0.048216007714561235
38,Arsenal,West Ham,0.6578947368421053,0.14970059880239522
39,Stoke,Burnley,0.4464285714285714,0.2898550724637681
40,Watford,Crystal Palace,0.32573289902280134,0.4016064257028112
41,West Brom,Liverpool,0.15503875968992248,0.6289308176100629
42,Burnley,Chelsea,0.22271714922048996,0.5263157894736842
43,Leicester,Southampton,0.4166666666666667,0.3215434083601286
44,Bournemouth,Manchester Utd,0.22172949002217296,0.5494505494505494
45,Brighton,Spurs,0.15503875968992248,0.641025641025641
46,West Ham,Stoke,0.5025125628140703,0.24154589371980678
47,Manchester Utd,West Brom,0.8333333333333334,0.056625141562853906
48,Newcastle,Arsenal,0.3448275862068966,0.39840637450199207
49,Spurs,Manchester City,0.35714285714285715,0.3921568627450981
50,Liverpool,Bournemouth,0.8130081300813008,0.07407407407407407
51,Burnley,Leicester,0.3802281368821293,0.33112582781456956
52,Crystal Palace,Brighton,0.5376344086021505,0.20366598778004072
53,Huddersfield,Watford,0.38759689922480617,0.32573289902280134
54,Swansea,Everton,0.3663003663003663,0.3460207612456747
55,Southampton,Chelsea,0.2127659574468085,0.5524861878453039
56,Chelsea,West Ham,0.7633587786259541,0.08888888888888889
57,Arsenal,Southampton,0.5649717514124294,0.20161290322580647
58,Manchester City,Manchester Utd,0.5405405405405405,0.2159827213822894
59,Bournemouth,Crystal Palace,0.3846153846153846,0.35842293906810035
60,Brighton,Huddersfield,0.5747126436781609,0.17793594306049823
61,Leicester,Newcastle,0.53475935828877,0.21413276231263384
62,Stoke,Spurs,0.09057971014492755,0.7692307692307692
