,team,web_name,id_x,chance_of_playing_next_round,now_cost,minutes,team_name,first_name,second_name,full_name,matches,name,link,season,fuzz_ratio
0,1,Özil,1,,70,1439,Arsenal,Mesut,Özil,MesutÖzil,Mesut_Özil,Mesut_Özil,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Mesut_%C3%96zil,2017-18,89
1,1,David Luiz,3,,55,2809,Arsenal,David,Luiz Moreira Marinho,DavidLuiz Moreira Marinho,David_Luiz Moreira Marinho,David_Luiz Moreira Marinho,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/David_Luiz%20Moreira%20Marinho,2017-18,96
2,1,Aubameyang,4,,120,3136,Arsenal,Pierre-Emerick,Aubameyang,Pierre-EmerickAubameyang,Pierre-Emerick_Aubameyang,Pierre-Emerick_Aubameyang,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Pierre-Emerick_Aubameyang,2017-18,96
3,1,Cédric,5,,50,1553,Arsenal,Cédric,Soares,CédricSoares,Cédric_Soares,Cédric_Soares,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/C%C3%A9dric_Soares,2017-18,92
4,1,Lacazette,6,,85,1867,Arsenal,Alexandre,Lacazette,AlexandreLacazette,Alexandre_Lacazette,Alexandre_Lacazette,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Alexandre_Lacazette,2017-18,94
5,1,Mustafi,7,0.0,50,1205,Arsenal,Shkodran,Mustafi,ShkodranMustafi,Shkodran_Mustafi,Shkodran_Mustafi,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Shkodran_Mustafi,2017-18,93
7,1,Xhaka,9,,55,2586,Arsenal,Granit,Xhaka,GranitXhaka,Granit_Xhaka,Granit_Xhaka,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Granit_Xhaka,2017-18,91
9,1,Bellerín,11,,50,1156,Arsenal,Héctor,Bellerín,HéctorBellerín,Héctor_Bellerín,Héctor_Bellerín,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/H%C3%A9ctor_Beller%C3%ADn,2017-18,93
10,1,Martínez,12,,45,770,Arsenal,Emiliano,Martínez,EmilianoMartínez,Damian Emiliano_Martinez,Damian Emiliano_Martinez,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Damian%20Emiliano_Martinez,2017-18,88
11,1,Chambers,13,0.0,45,1102,Arsenal,Calum,Chambers,CalumChambers,Calum_Chambers,Calum_Chambers,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Calum_Chambers,2017-18,92
12,1,Kolasinac,14,,50,1694,Arsenal,Sead,Kolasinac,SeadKolasinac,Sead_Kolasinac,Sead_Kolasinac,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Sead_Kolasinac,2017-18,92
13,1,Maitland-Niles,15,,50,1382,Arsenal,Ainsley,Maitland-Niles,AinsleyMaitland-Niles,Ainsley_Maitland-Niles,Ainsley_Maitland-Niles,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Ainsley_Maitland-Niles,2017-18,95
14,1,Holding,16,,45,580,Arsenal,Rob,Holding,RobHolding,Rob_Holding,Rob_Holding,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Rob_Holding,2017-18,90
18,1,Willock,20,,50,838,Arsenal,Joseph,Willock,JosephWillock,Joseph_Willock,Joseph_Willock,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Joseph_Willock,2017-18,92
19,1,Nelson,21,,55,622,Arsenal,Reiss,Nelson,ReissNelson,Reiss_Nelson,Reiss_Nelson,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Reiss_Nelson,2017-18,91
20,1,Nketiah,22,,60,628,Arsenal,Edward,Nketiah,EdwardNketiah,Edward_Nketiah,Edward_Nketiah,/vaastav/Fantasy-Premier-League/tree/master/data/2017-18/players/Edward_Nketiah,2017-18,92
