,home_team,away_team,home_odds,away_odds
0,Liverpool,Chelsea,0.5235602094240838,0.2518891687657431
1,Manchester Utd,West Ham,0.7936507936507936,0.08748906386701663
2,Aston Villa,Arsenal,0.3164556962025316,0.45454545454545453
3,Watford,Manchester City,0.10845986984815617,0.7633587786259541
4,Wolves,Crystal Palace,0.6944444444444444,0.11025358324145534
5,Brighton,Newcastle,0.5025125628140703,0.2506265664160401
6,Sheffield Utd,Everton,0.5050505050505051,0.23752969121140144
7,Spurs,Leicester,0.4310344827586207,0.3115264797507788
8,Bournemouth,Southampton,0.4115226337448559,0.36101083032490977
9,Norwich,Burnley,0.3105590062111801,0.4366812227074236
10,West Ham,Watford,0.40322580645161293,0.29411764705882354
11,Crystal Palace,Manchester Utd,0.1149425287356322,0.7352941176470588
12,Southampton,Brighton,0.44052863436123346,0.30303030303030304
13,Everton,Aston Villa,0.47393364928909953,0.28169014084507044
14,Leicester,Sheffield Utd,0.4672897196261682,0.2638522427440633
15,Arsenal,Liverpool,0.22123893805309736,0.5813953488372093
16,Burnley,Wolves,0.21645021645021645,0.5181347150259068
17,Manchester City,Bournemouth,0.8695652173913044,0.06027727546714889
18,Newcastle,Spurs,0.1890359168241966,0.6060606060606061
19,Chelsea,Norwich,0.8849557522123894,0.04826254826254826
20,Manchester Utd,Southampton,0.7874015748031495,0.09033423667570009
21,Bournemouth,Leicester,0.20876826722338204,0.5649717514124294
22,Spurs,Arsenal,0.36101083032490977,0.3802281368821293
23,Aston Villa,Crystal Palace,0.42194092827004215,0.3194888178913738
24,Wolves,Everton,0.47846889952153115,0.24449877750611249
25,Brighton,Manchester City,0.08064516129032258,0.8130081300813008
26,Sheffield Utd,Chelsea,0.19880715705765406,0.5714285714285714
27,Liverpool,Burnley,0.819672131147541,0.07507507507507508
28,Norwich,West Ham,0.273972602739726,0.4807692307692307
29,Watford,Newcastle,0.5208333333333334,0.23255813953488372
30,Aston Villa,Manchester Utd,0.11001100110011001,0.7518796992481203
31,Bournemouth,Spurs,0.20964360587002098,0.5714285714285714
32,Everton,Southampton,0.47846889952153115,0.2680965147453083
33,Brighton,Liverpool,0.1636661211129296,0.6289308176100629
