,team,web_name,id_x,chance_of_playing_next_round,now_cost,minutes,team_name,first_name,second_name,full_name,matches,name,link,season,fuzz_ratio
0,1,Özil,1,,70,1439,Arsenal,Mesut,Özil,MesutÖzil,Mesut_Özil,Mesut_Özil,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Mesut_%C3%96zil,2016-17,89
2,1,David Luiz,3,,55,2809,Arsenal,David,Luiz Moreira Marinho,DavidLuiz Moreira Marinho,David_Luiz Moreira Marinho,David_Luiz Moreira Marinho,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/David_Luiz%20Moreira%20Marinho,2016-17,96
4,1,Cédric,5,,50,1553,Arsenal,Cédric,Soares,CédricSoares,Cédric_Soares,Cédric_Soares,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/C%C3%A9dric_Soares,2016-17,92
5,1,Mustafi,7,0.0,50,1205,Arsenal,Shkodran,Mustafi,ShkodranMustafi,Shkodran_Mustafi,Shkodran_Mustafi,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Shkodran_Mustafi,2016-17,93
7,1,Xhaka,9,,55,2586,Arsenal,Granit,Xhaka,GranitXhaka,Granit_Xhaka,Granit_Xhaka,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Granit_Xhaka,2016-17,91
9,1,Bellerín,11,,50,1156,Arsenal,Héctor,Bellerín,HéctorBellerín,Héctor_Bellerín,Héctor_Bellerín,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/H%C3%A9ctor_Beller%C3%ADn,2016-17,93
10,1,Martínez,12,,45,770,Arsenal,Emiliano,Martínez,EmilianoMartínez,Damian Emiliano_Martinez,Damian Emiliano_Martinez,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Damian%20Emiliano_Martinez,2016-17,88
11,1,Chambers,13,0.0,45,1102,Arsenal,Calum,Chambers,CalumChambers,Calum_Chambers,Calum_Chambers,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Calum_Chambers,2016-17,92
13,1,Maitland-Niles,15,,50,1382,Arsenal,Ainsley,Maitland-Niles,AinsleyMaitland-Niles,Ainsley_Maitland-Niles,Ainsley_Maitland-Niles,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Ainsley_Maitland-Niles,2016-17,95
14,1,Holding,16,,45,580,Arsenal,Rob,Holding,RobHolding,Rob_Holding,Rob_Holding,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Rob_Holding,2016-17,90
24,1,Willian,478,,80,2595,Arsenal,Willian,Borges Da Silva,WillianBorges Da Silva,Willian_Borges Da Silva,Willian_Borges Da Silva,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Willian_Borges%20Da%20Silva,2016-17,95
26,2,Heaton,28,0.0,45,1794,Aston Villa,Tom,Heaton,TomHeaton,Tom_Heaton,Tom_Heaton,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Tom_Heaton,2016-17,89
27,2,El Mohamady,29,,45,1024,Aston Villa,Ahmed,El Mohamady,AhmedEl Mohamady,Ahmed_Elmohamady,Ahmed_Elmohamady,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Ahmed_Elmohamady,2016-17,88
28,2,Taylor,31,,45,1088,Aston Villa,Neil,Taylor,NeilTaylor,Neil_Taylor,Neil_Taylor,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Neil_Taylor,2016-17,90
35,2,Mings,41,,50,2902,Aston Villa,Tyrone,Mings,TyroneMings,Tyrone_Mings,Tyrone_Mings,/vaastav/Fantasy-Premier-League/tree/master/data/2016-17/players/Tyrone_Mings,2016-17,91
