,team,web_name,id_x,chance_of_playing_next_round,now_cost,minutes,team_name,first_name,second_name,full_name,matches,name,link,season,fuzz_ratio
108,6,Wickham,136,,45,90,Crystal Palace,Connor,Wickham,ConnorWickham,Connor_Wickham_444,Connor_Wickham_444,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Connor_Wickham_444,2018-19,92
109,6,Townsend,137,,60,1284,Crystal Palace,Andros,Townsend,AndrosTownsend,Andros_Townsend_149,Andros_Townsend_149,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Andros_Townsend_149,2018-19,93
110,6,Milivojevic,138,,60,2510,Crystal Palace,Luka,Milivojevic,LukaMilivojevic,Luka_Milivojevic_150,Luka_Milivojevic_150,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Luka_Milivojevic_150,2018-19,93
111,6,van Aanholt,139,0.0,55,2507,Crystal Palace,Patrick,van Aanholt,Patrickvan Aanholt,Patrick_van Aanholt_142,Patrick_van Aanholt_142,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Patrick_van%20Aanholt_142,2018-19,94
112,6,Ayew,140,,60,3148,Crystal Palace,Jordan,Ayew,JordanAyew,Jordan_Ayew_505,Jordan_Ayew_505,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Jordan_Ayew_505,2018-19,90
113,6,Zaha,141,,70,3279,Crystal Palace,Wilfried,Zaha,WilfriedZaha,Wilfried_Zaha_151,Wilfried_Zaha_151,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Wilfried_Zaha_151,2018-19,92
114,6,Schlupp,142,,55,1030,Crystal Palace,Jeffrey,Schlupp,JeffreySchlupp,Jeffrey_Schlupp_141,Jeffrey_Schlupp_141,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Jeffrey_Schlupp_141,2018-19,93
115,6,Meyer,143,,50,645,Crystal Palace,Max,Meyer,MaxMeyer,Max_Meyer_486,Max_Meyer_486,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Max_Meyer_486,2018-19,88
116,6,Riedewald,144,,45,761,Crystal Palace,Jairo,Riedewald,JairoRiedewald,Jairo_Riedewald_144,Jairo_Riedewald_144,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Jairo_Riedewald_144,2018-19,93
118,6,Dann,486,,45,1264,Crystal Palace,Scott,Dann,ScottDann,Scott_Dann_139,Scott_Dann_139,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Scott_Dann_139,2018-19,89
119,7,Walcott,148,,60,1281,Everton,Theo,Walcott,TheoWalcott,Theo_Walcott_164,Theo_Walcott_164,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Theo_Walcott_164,2018-19,91
120,7,Delph,149,,50,1187,Everton,Fabian,Delph,FabianDelph,Fabian_Delph_269,Fabian_Delph_269,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Fabian_Delph_269,2018-19,91
121,7,Sigurdsson,150,,70,2555,Everton,Gylfi,Sigurdsson,GylfiSigurdsson,Gylfi_Sigurdsson_172,Gylfi_Sigurdsson_172,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Gylfi_Sigurdsson_172,2018-19,93
122,7,Lössl,151,,45,0,Everton,Jonas,Lössl,JonasLössl,Jonas_Lössl_191,Jonas_Lössl_191,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Jonas_L%C3%B6ssl_191,2018-19,90
123,7,Coleman,152,,50,1833,Everton,Seamus,Coleman,SeamusColeman,Seamus_Coleman_157,Seamus_Coleman_157,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Seamus_Coleman_157,2018-19,92
124,7,Tosun,153,0.0,60,462,Everton,Cenk,Tosun,CenkTosun,Cenk_Tosun_177,Cenk_Tosun_177,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Cenk_Tosun_177,2018-19,89
125,7,Bernard,154,,60,1269,Everton,Bernard,Anício Caldeira Duarte,BernardAnício Caldeira Duarte,Bernard_Anício Caldeira Duarte_507,Bernard_Anício Caldeira Duarte_507,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Bernard_An%C3%ADcio%20Caldeira%20Duarte_507,2018-19,97
126,7,Digne,155,,60,3031,Everton,Lucas,Digne,LucasDigne,Lucas_Digne_484,Lucas_Digne_484,/vaastav/Fantasy-Premier-League/tree/master/data/2018-19/players/Lucas_Digne_484,2018-19,90
