,team,web_name,id_x,chance_of_playing_next_round,now_cost,minutes,team_name,first_name,second_name,full_name,matches,name,link,season,fuzz_ratio
0,1,Özil,1,,70,1439,Arsenal,Mesut,Özil,MesutÖzil,Mesut_Özil_15,Mesut_Özil_15,/vaastav/Fantasy-Premier-League/tree/master/data/2019-20/players/Mesut_%C3%96zil_15,2019-20,89
1,1,Sokratis,2,,50,1696,Arsenal,Sokratis,Papastathopoulos,SokratisPapastathopoulos,Sokratis_Papastathopoulos_5,Sokratis_Papastathopoulos_5,/vaastav/Fantasy-Premier-League/tree/master/data/2019-20/players/Sokratis_Papastathopoulos_5,2019-20,96
2,1,David Luiz,3,,55,2809,Arsenal,David,Luiz Moreira Marinho,DavidLuiz Moreira Marinho,David_Luiz Moreira Marinho_106,David_Luiz Moreira Marinho_106,/vaastav/Fantasy-Premier-League/tree/master/data/2019-20/players/David_Luiz%20Moreira%20Marinho_106,2019-20,96
3,1,Aubameyang,4,,120,3136,Arsenal,Pierre-Emerick,Aubameyang,Pierre-EmerickAubameyang,Pierre-Emerick_Aubameyang_11,Pierre-Emerick_Aubameyang_11,/vaastav/Fantasy-Premier-League/tree/master/data/2019-20/players/Pierre-Emerick_Aubameyang_11,2019-20,96
4,1,Cédric,5,,50,1553,Arsenal,Cédric,Soares,CédricSoares,Cédric_Soares_486,Cédric_Soares_486,/vaastav/Fantasy-Premier-League/tree/master/data/2019-20/players/C%C3%A9dric_Soares_486,2019-20,92
5,1,Lacazette,6,,85,1867,Arsenal,Alexandre,Lacazette,AlexandreLacazette,Alexandre_Lacazette_12,Alexandre_Lacazette_12,/vaastav/Fantasy-Premier-League/tree/master/data/2019-20/players/Alexandre_Lacazette_12,2019-20,94
6,1,Mustafi,7,0.0,50,1205,Arsenal,Shkodran,Mustafi,ShkodranMustafi,Shkodran_Mustafi_1,Shkodran_Mustafi_1,/vaastav/Fantasy-Premier-League/tree/master/data/2019-20/players/Shkodran_Mustafi_1,2019-20,93
7,1,Leno,8,,50,2649,Arsenal,Bernd,Leno,BerndLeno,Bernd_Leno_14,Bernd_Leno_14,/vaastav/Fantasy-Premier-League/tree/master/data/2019-20/players/Bernd_Leno_14,2019-20,89
8,1,Xhaka,9,,55,2586,Arsenal,Granit,Xhaka,GranitXhaka,Granit_Xhaka_18,Granit_Xhaka_18,/vaastav/Fantasy-Premier-League/tree/master/data/2019-20/players/Granit_Xhaka_18,2019-20,91
9,1,Marí,10,0.0,45,113,Arsenal,Pablo,Marí,PabloMarí,Pablo_Marí_617,Pablo_Marí_617,/vaastav/Fantasy-Premier-League/tree/master/data/2019-20/players/Pablo_Mar%C3%AD_617,2019-20,89
