,home_team,away_team,home_odds,away_odds
0,Brighton,Manchester City,0.06635700066357,0.8403361344537815
1,Burnley,Arsenal,0.39370078740157477,0.36363636363636365
2,Crystal Palace,Bournemouth,0.5649717514124294,0.23696682464454977
3,Fulham,Newcastle,0.4081632653061224,0.3424657534246575
4,Leicester,Chelsea,0.41493775933609955,0.3424657534246575
5,Liverpool,Wolves,0.7633587786259541,0.09832841691248771
6,Manchester Utd,Cardiff,0.7633587786259541,0.1019367991845056
7,Southampton,Huddersfield,0.7194244604316548,0.11876484560570072
8,Spurs,Everton,0.5263157894736842,0.23980815347721823
9,Watford,West Ham,0.47619047619047616,0.29239766081871343
10,Manchester City,Leicester,0.8547008547008548,0.06596306068601583
11,Arsenal,Brighton,0.78125,0.08375209380234507
12,Chelsea,Watford,0.7692307692307692,0.09425070688030161
13,Huddersfield,Manchester Utd,0.10330578512396695,0.7518796992481203
14,Newcastle,Liverpool,0.10626992561105207,0.7462686567164178
15,Cardiff,Crystal Palace,0.390625,0.3717472118959108
16,West Ham,Southampton,0.4291845493562232,0.32679738562091504
17,Wolves,Fulham,0.6711409395973155,0.1347708894878706
18,Bournemouth,Spurs,0.17123287671232876,0.6451612903225806
19,Everton,Burnley,0.6024096385542169,0.17513134851138354
20,Manchester Utd,Chelsea,0.3717472118959108,0.3623188405797102
21,Burnley,Manchester City,0.05691519635742743,0.8620689655172414
22,Leicester,Arsenal,0.37453183520599254,0.3802281368821293
23,Brighton,Newcastle,0.45248868778280543,0.273972602739726
24,Crystal Palace,Everton,0.33444816053511706,0.4081632653061224
25,Fulham,Cardiff,0.45248868778280543,0.3048780487804878
26,Southampton,Bournemouth,0.5555555555555556,0.22172949002217296
27,Watford,Wolves,0.3731343283582089,0.3496503496503497
28,Spurs,West Ham,0.7352941176470588,0.11286681715575622
29,Liverpool,Huddersfield,0.9345794392523364,0.02915451895043732
30,Manchester Utd,Manchester City,0.15432098765432098,0.6666666666666666
31,Wolves,Arsenal,0.3676470588235294,0.37037037037037035
32,Spurs,Brighton,0.7936507936507936,0.07604562737642585
33,Watford,Southampton,0.4566210045662101,0.2849002849002849
34,Chelsea,Burnley,0.8130081300813008,0.06756756756756756
35,Arsenal,Crystal Palace,0.6622516556291391,0.1557632398753894
36,Cardiff,Liverpool,0.06101281269066504,0.8474576271186441
37,Everton,Manchester Utd,0.3076923076923077,0.44052863436123346
38,Newcastle,Southampton,0.4081632653061224,0.2949852507374631
39,Bournemouth,Fulham,0.5847953216374269,0.20920502092050208
40,Huddersfield,Watford,0.24449877750611249,0.5102040816326531
41,West Ham,Leicester,0.3076923076923077,0.4444444444444444
42,Wolves,Brighton,0.5154639175257733,0.20202020202020202
43,Manchester City,Spurs,0.7874015748031495,0.09057971014492755
44,Brighton,Cardiff,0.5,0.22573363431151244
45,Watford,Arsenal,0.2747252747252747,0.48780487804878053
46,Liverpool,Chelsea,0.5813953488372093,0.19011406844106465
47,Crystal Palace,Manchester City,0.0784313725490196,0.8064516129032259
48,Manchester Utd,West Ham,0.7575757575757576,0.10309278350515465
49,Brighton,Bournemouth,0.4329004329004329,0.2949852507374631
50,Burnley,Cardiff,0.5376344086021505,0.2150537634408602
51,Fulham,Everton,0.2079002079002079,0.5847953216374269
52,Southampton,Wolves,0.36900369003690037,0.3484320557491289
53,Spurs,Huddersfield,0.8333333333333334,0.05941770647653001
54,Leicester,Newcastle,0.5988023952095809,0.17301038062283736
55,Chelsea,West Ham,0.8,0.07880220646178093
56,Everton,Arsenal,0.3436426116838488,0.40322580645161293
57,Bournemouth,Burnley,0.48309178743961356,0.26595744680851063
58,Huddersfield,Leicester,0.1858736059479554,0.6024096385542169
59,Newcastle,Crystal Palace,0.37037037037037035,0.3436426116838488
60,Southampton,Liverpool,0.11547344110854503,0.7246376811594204
61,Chelsea,Brighton,0.78125,0.078003120124805
62,Manchester City,Cardiff,0.9345794392523364,0.030303030303030304
63,Spurs,Crystal Palace,0.6802721088435374,0.13351134846461948
64,Watford,Fulham,0.5813953488372093,0.19342359767891684
65,Wolves,Manchester Utd,0.3003003003003003,0.42016806722689076
66,Arsenal,Newcastle,0.7042253521126761,0.12004801920768307
67,Liverpool,Spurs,0.6369426751592356,0.16666666666666666
68,Cardiff,Chelsea,0.1107419712070875,0.7092198581560284
69,West Ham,Everton,0.3731343283582089,0.35842293906810035
70,Brighton,Southampton,0.3952569169960475,0.31545741324921134
71,Burnley,Wolves,0.3460207612456747,0.3676470588235294
72,Crystal Palace,Huddersfield,0.684931506849315,0.12091898428053205
73,Leicester,Bournemouth,0.5555555555555556,0.22123893805309736
74,Manchester Utd,Watford,0.7194244604316548,0.12062726176115804
75,Fulham,Manchester City,0.04938271604938271,0.8928571428571428
76,Everton,Chelsea,0.2188183807439825,0.5434782608695652
77,Fulham,Liverpool,0.0779423226812159,0.8264462809917356
78,Bournemouth,Newcastle,0.4716981132075471,0.2785515320334262
79,Burnley,Leicester,0.3164556962025316,0.41841004184100417
80,West Ham,Huddersfield,0.6535947712418301,0.14749262536873156
81,Arsenal,Manchester Utd,0.42016806722689076,0.33003300330033003
82,Chelsea,Wolves,0.6329113924050632,0.14388489208633093
83,Liverpool,Burnley,0.8547008547008548,0.05452562704471101
84,Manchester City,Watford,0.9009009009009008,0.04275331338178709
85,Cardiff,West Ham,0.33222591362126247,0.4065040650406504
86,Huddersfield,Bournemouth,0.3215434083601286,0.4065040650406504
87,Leicester,Fulham,0.6329113924050632,0.17094017094017094
88,Newcastle,Everton,0.3676470588235294,0.3424657534246575
89,Southampton,Spurs,0.22075055187637968,0.5494505494505494
90,Crystal Palace,Brighton,0.5319148936170213,0.19646365422396858
91,Everton,Liverpool,0.1564945226917058,0.6289308176100629
92,Fulham,Chelsea,0.11848341232227488,0.7042253521126761
93,Watford,Leicester,0.36363636363636365,0.3663003663003663
94,West Ham,Newcastle,0.4587155963302752,0.2747252747252747
95,Bournemouth,Manchester City,0.06830601092896174,0.8474576271186441
96,Brighton,Huddersfield,0.5617977528089888,0.17605633802816903
97,Burnley,Crystal Palace,0.3436426116838488,0.38167938931297707
98,Manchester Utd,Southampton,0.6896551724137931,0.1234567901234568
99,Wolves,Cardiff,0.5747126436781609,0.17605633802816903
100,Spurs,Arsenal,0.5,0.25125628140703515
101,Chelsea,Spurs,0.42016806722689076,0.3048780487804878
102,Crystal Palace,Manchester Utd,0.29850746268656714,0.4291845493562232
103,Liverpool,Watford,0.7874015748031495,0.07955449482895784
